ID,Title,Author,Theme,Difficulty,ClearRate,Stars,PlayersPlayed,Clears,RoundsPlayed,Flag,Tag,Link
203C-0000-03EB-BA3F,Sкīādřцm,robraf21,sbu,Super Expert,0.00%,12,24,0,480,DE,---,https://supermariomakerbookmark.nintendo.net/courses/203C-0000-03EB-BA3F
B3B6-0000-03EA-683C,▲  New Speed Run for Cindy ♪  ♡,monstre,sbu,Normal,20.18%,32,68,44,218,FR,---,https://supermariomakerbookmark.nintendo.net/courses/B3B6-0000-03EA-683C
8F83-0000-03EA-30B7,What a Cruel Wall over there,Filletus,sbu,Normal,9.09%,8,16,8,88,CZ,---,https://supermariomakerbookmark.nintendo.net/courses/8F83-0000-03EA-30B7
B060-0000-03E5-136B,Throw Hole(10s),CN.LlZI,sbu,Super Expert,0.28%,8,16,3,1058,JP,---,https://supermariomakerbookmark.nintendo.net/courses/B060-0000-03E5-136B
17FF-0000-03E0-CA23,コイン集め,ゆ,sbu,Expert,8.47%,12,21,10,118,JP,---,https://supermariomakerbookmark.nintendo.net/courses/17FF-0000-03E0-CA23
1BE5-0000-03DC-C94C,テレサ全自動　[Automatic Mario]　最後まで動くな,[KMD] Sou,sbu,Easy,41.56%,20,38,32,77,JP,---,https://supermariomakerbookmark.nintendo.net/courses/1BE5-0000-03DC-C94C
2D05-0000-03C9-5F0E,Mario Run de Prisa,Morillon71,sbu,Super Expert,1.00%,28,68,26,2597,MX,---,https://supermariomakerbookmark.nintendo.net/courses/2D05-0000-03C9-5F0E
2C5A-0000-03E2-86F0,スピラン系改！【20sTA】,spw-02,sbu,Expert,9.80%,41,80,45,459,JP,---,https://supermariomakerbookmark.nintendo.net/courses/2C5A-0000-03E2-86F0
9825-0000-03EA-4A8C,Ballistic Edge,Farticus,sbu,Expert,10.55%,42,77,40,379,GB,---,https://supermariomakerbookmark.nintendo.net/courses/9825-0000-03EA-4A8C
F44A-0000-03E2-59BA,SPEEDRUN 90 Sec. for 1.1K Stars♥,ColtendoYT,sbu,Expert,1.86%,21,40,7,376,DE,---,https://supermariomakerbookmark.nintendo.net/courses/F44A-0000-03E2-59BA
